YEAR,QUARTER,CITY,AIRLINE,PREDICTED_TRAFFIC
2015,Q1,VARANASI,INDIGO,423
2015,Q1,VARANASI,JET AIRWAYS,2047
2015,Q1,VARANASI,SPICEJET,268
2015,Q1,VISAKHAPATNAM,AIR INDIA,3156
2015,Q1,VISAKHAPATNAM,AIR INDIA EXPRESS,1171
2015,Q1,VISAKHAPATNAM,INDIGO,809
2015,Q1,VISAKHAPATNAM,JET AIRWAYS,3919
2015,Q1,VISAKHAPATNAM,SPICEJET,513
2015,Q2,AHMEDABAD,AIR INDIA,36267
2015,Q2,AHMEDABAD,AIR INDIA EXPRESS,17764
2015,Q2,AHMEDABAD,INDIGO,11556
2015,Q2,AHMEDABAD,JET AIRWAYS,47331
2015,Q2,AHMEDABAD,SPICEJET,7156
2015,Q2,AMRITSAR,AIR INDIA,9534
2015,Q2,AMRITSAR,AIR INDIA EXPRESS,4670
2015,Q2,AMRITSAR,INDIGO,3038
2015,Q2,AMRITSAR,JET AIRWAYS,12443
2015,Q2,AMRITSAR,SPICEJET,1881
2015,Q2,BENGALURU,AIR INDIA,111897
2015,Q2,BENGALURU,AIR INDIA EXPRESS,54808
2015,Q2,BENGALURU,INDIGO,35655
2015,Q2,BENGALURU,JET AIRWAYS,146031
2015,Q2,BENGALURU,SPICEJET,22080
2015,Q2,CHENNAI,AIR INDIA,172825
2015,Q2,CHENNAI,AIR INDIA EXPRESS,84651
2015,Q2,CHENNAI,INDIGO,55069
2015,Q2,CHENNAI,JET AIRWAYS,225545
2015,Q2,CHENNAI,SPICEJET,34103
2015,Q2,COIMBATORE,AIR INDIA,4978
2015,Q2,COIMBATORE,AIR INDIA EXPRESS,2438
2015,Q2,COIMBATORE,INDIGO,1586
2015,Q2,COIMBATORE,JET AIRWAYS,6496
2015,Q2,COIMBATORE,SPICEJET,982
2015,Q2,DELHI,AIR INDIA,421098
2015,Q2,DELHI,AIR INDIA EXPRESS,206258
2015,Q2,DELHI,INDIGO,134179
2015,Q2,DELHI,JET AIRWAYS,549555
2015,Q2,DELHI,SPICEJET,83093
2015,Q2,GAYA,AIR INDIA,528
2015,Q2,GAYA,AIR INDIA EXPRESS,259
2015,Q2,GAYA,INDIGO,168
2015,Q2,GAYA,JET AIRWAYS,690
2015,Q2,GAYA,SPICEJET,104
2015,Q2,GOA,AIR INDIA,10743
2015,Q2,GOA,AIR INDIA EXPRESS,5262
2015,Q2,GOA,INDIGO,3423
2015,Q2,GOA,JET AIRWAYS,14021
2015,Q2,GOA,SPICEJET,2120
2015,Q2,HYDERABAD,AIR INDIA,100918
2015,Q2,HYDERABAD,AIR INDIA EXPRESS,49430
2015,Q2,HYDERABAD,INDIGO,32156
2015,Q2,HYDERABAD,JET AIRWAYS,131703
2015,Q2,HYDERABAD,SPICEJET,19913
2015,Q2,JAIPUR,AIR INDIA,11868
2015,Q2,JAIPUR,AIR INDIA EXPRESS,5813
2015,Q2,JAIPUR,INDIGO,3781
2015,Q2,JAIPUR,JET AIRWAYS,15488
2015,Q2,JAIPUR,SPICEJET,2341
2015,Q2,KOCHI,AIR INDIA,162168
2015,Q2,KOCHI,AIR INDIA EXPRESS,79431
2015,Q2,KOCHI,INDIGO,51673
2015,Q2,KOCHI,JET AIRWAYS,211638
2015,Q2,KOCHI,SPICEJET,32000
2015,Q2,KOLKATA,AIR INDIA,60217
2015,Q2,KOLKATA,AIR INDIA EXPRESS,29495
2015,Q2,KOLKATA,INDIGO,19187
2015,Q2,KOLKATA,JET AIRWAYS,78587
2015,Q2,KOLKATA,SPICEJET,11882
2015,Q2,KOZHIKODE,AIR INDIA,75044
2015,Q2,KOZHIKODE,AIR INDIA EXPRESS,36757
2015,Q2,KOZHIKODE,INDIGO,23912
2015,Q2,KOZHIKODE,JET AIRWAYS,97937
2015,Q2,KOZHIKODE,SPICEJET,14808
2015,Q2,LUCKNOW,AIR INDIA,20452
2015,Q2,LUCKNOW,AIR INDIA EXPRESS,10017
2015,Q2,LUCKNOW,INDIGO,6516
2015,Q2,LUCKNOW,JET AIRWAYS,26691
2015,Q2,LUCKNOW,SPICEJET,4035
2015,Q2,MADURAI,AIR INDIA,9400
2015,Q2,MADURAI,AIR INDIA EXPRESS,4604
2015,Q2,MADURAI,INDIGO,2995
2015,Q2,MADURAI,JET AIRWAYS,12268
2015,Q2,MADURAI,SPICEJET,1855
2015,Q2,MANGALORE,AIR INDIA,25065
2015,Q2,MANGALORE,AIR INDIA EXPRESS,12277
2015,Q2,MANGALORE,INDIGO,7986
2015,Q2,MANGALORE,JET AIRWAYS,32711
2015,Q2,MANGALORE,SPICEJET,4946
2015,Q2,MUMBAI,AIR INDIA,399491
2015,Q2,MUMBAI,AIR INDIA EXPRESS,195674
2015,Q2,MUMBAI,INDIGO,127294
2015,Q2,MUMBAI,JET AIRWAYS,521356
2015,Q2,MUMBAI,SPICEJET,78830
2015,Q2,NAGPUR,AIR INDIA,1954
2015,Q2,NAGPUR,AIR INDIA EXPRESS,957
2015,Q2,NAGPUR,INDIGO,622
2015,Q2,NAGPUR,JET AIRWAYS,2550
2015,Q2,NAGPUR,SPICEJET,385
2015,Q2,PUNE,AIR INDIA,7945
2015,Q2,PUNE,AIR INDIA EXPRESS,3891
2015,Q2,PUNE,INDIGO,2531
2015,Q2,PUNE,JET AIRWAYS,10369
2015,Q2,PUNE,SPICEJET,1567
2015,Q2,TIRUCHIRAPALLY,AIR INDIA,42726
2015,Q2,TIRUCHIRAPALLY,AIR INDIA EXPRESS,20927
2015,Q2,TIRUCHIRAPALLY,INDIGO,13614
2015,Q2,TIRUCHIRAPALLY,JET AIRWAYS,55760
