AIR INDIA EXPRESS,SHARJAH,MANGALORE,463,171
AIR INDIA EXPRESS,SHARJAH,MUMBAI,36683,48137
AIR INDIA EXPRESS,SHARJAH,PUNE,82,88
AIR INDIA EXPRESS,SHARJAH,TIRUCHIRAPALLY,24116,22377
AIR INDIA EXPRESS,SHARJAH,TRIVANDRUM,22634,22833
AIR INDIA EXPRESS,SHARJAH,VARANASI,34356,34350
AIR INDIA EXPRESS,SINGAPORE,CHENNAI,17089,20658
AIR INDIA EXPRESS,SINGAPORE,KOLKATA,3920,4803
AIR INDIA EXPRESS,SINGAPORE,TIRUCHIRAPALLY,51348,47475
AIR MANAS,BISHKEK,DELHI,11883,14317
AIR MAURITIUS,MARUITIUS,BENGALURU,9617,7985
AIR MAURITIUS,MARUITIUS,CHENNAI,7394,8621
AIR MAURITIUS,MARUITIUS,DELHI,27069,28329
AIR MAURITIUS,MARUITIUS,MUMBAI,53793,56430
AIR SEYCHELLES,SEYCHELLES,MUMBAI,28477,29120
ALL NIPPON AIRWAYS,NARITA,DELHI,49579,56762
ALL NIPPON AIRWAYS,NARITA,MUMBAI,35229,36852
ARIANA AFGHAN,KABUL,DELHI,13522,12960
ARIANA AFGHAN,KANDAHAR,DELHI,4745,4152
ASIANA AIRLINES,SEOUL,DELHI,51625,50177
AUSTRIAN AIRLINES,VIENNA,DELHI,208,670
BANGKOK AIRWAYS,BANGKOK,MUMBAI,42649,44710
BHUTAN AIRLINES,BANGKOK,KOLKATA,10096,10051
BHUTAN AIRLINES,PARO,KOLKATA,10683,10467
BIMAN BANGLADESH,CHITTAGONG,KOLKATA,5228,4955
BIMAN BANGLADESH,DHAKA,KOLKATA,51120,58043
BRITISH AIRWAYS,LONDON,BENGALURU,79069,83159
BRITISH AIRWAYS,LONDON,CHENNAI,62723,65112
BRITISH AIRWAYS,LONDON,DELHI,128137,140492
BRITISH AIRWAYS,LONDON,HYDERABAD,64379,68579
BRITISH AIRWAYS,LONDON,MUMBAI,148141,163394
BRUSSELS AIRLINES,BRUSELLS,MUMBAI,465,237
BUDDHA AIR,KATHMANDU,VARANASI,652,626
CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,CHENNAI,0,0
CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,MUMBAI,0,0
CARGOLUX AIRLINES INTERNATIONAL S.A.,TAIPAE,MUMBAI,0,0
CATHAY PACIFIC,AMSTERDAM,DELHI,0,0
CATHAY PACIFIC,AMSTERDAM,MUMBAI,0,0
CATHAY PACIFIC,FRANKFURT,DELHI,0,0
CATHAY PACIFIC,FRANKFURT,MUMBAI,0,0
CATHAY PACIFIC,HONG KONG,BENGALURU,0,0
CATHAY PACIFIC,HONG KONG,CHENNAI,67816,65636
CATHAY PACIFIC,HONG KONG,DELHI,161502,163641
CATHAY PACIFIC,HONG KONG,HYDERABAD,34834,36442
CATHAY PACIFIC,HONG KONG,KOLKATA,0,0
CATHAY PACIFIC,HONG KONG,MUMBAI,107181,115392
CATHAY PACIFIC,LONDON,DELHI,0,0
CATHAY PACIFIC,LONDON,MUMBAI,0,0
CATHAY PACIFIC,MALPENSA,MUMBAI,0,0
CATHAY PACIFIC,PARIS,DELHI,0,0
CATHAY PACIFIC,PARIS,MUMBAI,0,0
CHINA AIRLINES LTD,LUXEMBOURG,DELHI,0,0
CHINA AIRLINES LTD,ROME,DELHI,4420,15371
CHINA AIRLINES LTD,TAIPAE,DELHI,20828,34623
